File name,Wikipedia ID,Title,Category,Number of sentences,Translator ID
BDS00001.xml,2674,雪舟,Buddhism,69,WP_5283
BDS00002.xml,3697,臨済宗,Buddhism,123,WP_5283
BDS00003.xml,4650,浄土真宗,Buddhism,198,KT_5527
BDS00004.xml,5352,道元,Buddhism,79,WP_5283
BDS00005.xml,6079,一休宗純,Buddhism,104,WP_5283
BDS00006.xml,6190,阿弥陀三尊,Buddhism,18,JK_5031
BDS00007.xml,9155,親鸞,Buddhism,177,YN_5521
BDS00008.xml,12102,浄土宗,Buddhism,113,KT_5524
BDS00009.xml,3277,真言宗,Buddhism,245,KT_5524
BDS00010.xml,3696,曹洞宗,Buddhism,72,KT_5524
BDS00011.xml,3739,観音菩薩,Buddhism,172,KT_5524
BDS00012.xml,5245,黄檗宗,Buddhism,19,KT_5524
BDS00013.xml,6167,釈迦如来,Buddhism,36,KT_5524
BDS00014.xml,6174,大仏,Buddhism,11,KT_5524
BDS00015.xml,8588,密教,Buddhism,53,KT_5524
BDS00016.xml,10425,阿弥陀如来,Buddhism,61,KT_5524
BDS00017.xml,10481,弥勒菩薩,Buddhism,63,KT_5524
BDS00018.xml,11066,題目,Buddhism,48,KT_5524
BDS00019.xml,11067,法華経,Buddhism,128,KT_5524
BDS00020.xml,11069,念仏,Buddhism,34,KT_5524
BDS00021.xml,11091,天台宗,Buddhism,53,TN_4975
BDS00022.xml,11619,菩薩,Buddhism,77,KT_5524
BDS00023.xml,11840,本願寺の歴史,Buddhism,141,KT_5524
BDS00024.xml,12126,五大明王,Buddhism,12,KT_5524
BDS00025.xml,12260,尼,Buddhism,35,KT_5524
BDS00026.xml,12683,阿羅漢,Buddhism,84,KT_5524
BDS00027.xml,12846,経典,Buddhism,114,KT_5524
BDS00028.xml,13166,浄土教,Buddhism,33,KT_5524
BDS00029.xml,15553,般若心経,Buddhism,81,KT_5524
BDS00030.xml,16256,文殊菩薩,Buddhism,44,KT_5524
BDS00031.xml,17221,帝釈天,Buddhism,33,KT_5524
BDS00032.xml,17639,薬師如来,Buddhism,75,TN_4975
BDS00033.xml,20432,十二神将,Buddhism,67,KT_5524
BDS00034.xml,33973,毘沙門天,Buddhism,53,KT_5524
BDS00035.xml,39948,門跡,Buddhism,90,KT_5524
