"日本語","英語",
"102世吉田日厚貫首","the 102nd head priest, Nikko TOSHIDA",
"1月15日：成人祭、新年祭","15th January: Seijin-sai (Adult Festival), the New Year Festival",
"1月3日：家運隆盛、商売繁盛祈願祭","3rd January: Prayer Festival for the prosperity of family fortunes and business",
"1月7日：七種粥神事","7th January: Nanakusa-gayu shinji (a divine service for a rice porridge with seven spring herbs to insure health for the new year)",
"21世紀COEプログラム","The 21st Century Center Of Excellence Program",
"21世紀出陣弁当","21-seiki Shutsujin Bento (21st century ""kick-off"" lunch box)",
"2月15日：初卯祭","15th February: Hatsuu-sai or The Rite of the First Rabbit Calendar Day",
"2代将軍足利義詮","the Second Shogun Yoshiakira ASHIKAGA",
"305世中村日玄貫首","the 305th chief priest Nichigan NAKAMURA",
"32世済範入道親王","the 32nd priestly Imperial Prince Saihan",
"3月17日～21日：春の感謝祭","17th-21st March: Spring Thanksgiving Festival",
"400年遠忌","the 400th anniversary of the death",
"45世 池坊専永宗匠","45th Generation Headmaster Ikenobo Sen'ei",
"49日法要","Buddhist memorial service after 49 days of one's death",
"4月29日：天長節祭","29th April: Tenchosetsu-sai or the Birth-day of Emperor Showa",
"4代目の倭宿禰命","Yamatono Sukuneno Mikoto, the fourth generation of a chief prist of the temple",
"50回忌法要","Buddhist memorial service of the fiftieth death anniversary",
"50歳の賀","celebration of age 50",
"5月4日：菖蒲祭","4th May: Shobu-sai (matsuri) or the Iris Festival",
"600回遠忌法要","six hundred times of Enki Hoyo(Buddhist annual memorial service)",
"65世南條日慈貫首","the 65th Kanshu, Nanjo Nichiji",
"6月30日：大祓式","30th June: Oharai-shiki or the great purification rite",
"6世顕厳","Kengon the sixth",
"7世親厳（1151 - 1236）","Shingon the seventh (1151-1236)",
"801ちゃん","Yaoi-Chan",
"83世頂岳日選貫首","the 83rd chief priest Chogaku Nissen",
"8月7日～10日：若宮八幡宮大祭","7th-10th August: Wakamiya Hachiman-gu Shrine Taisai (Great Festival)",
"9月秋分の日：秋季祭","Autumnal Equinox Day in September: Autumn Festival",
"ABCクッキングスタジオ","ABC Cooking Studio",
"AC大阪事務局","Osaka Bureau, Japan Ad Council",
"ALGO","ALGO",
"ATM","automated (automatic) teller machine",
"ATS","automatic train stop (system)",
"Au (携帯電話)ショップ花園橋店","AU shop Hanazonobashi shop",
"A級戦犯","class-A war criminals",
"a系","a Group",
"B.W.クラーク","B.W. Clarke",
"BiVi二条","BiVi Nijo",
"Bトレインショーティー","B Train Shorty",
"b系","b Group",
"cafe北都","cafe Hokuto",
"ＣＭ","CM (commercial message)",
"COCON KARASUMA","COCON KARASUMA",
"CSKホールディングス","CSK Holdings",
"CSイビー","Charles. S. Eby",
"D.C.グリーン","D. C. Greene",
"D.L.ムーディー","D. L. Moody",
"D-egg","D-egg",
"DELPA醍醐","DELPA Daigo",
"DOWAホールディングス","DOWA Holdings Co., Ltd.",
"DRCハウス","DRC House",
"ETC","ETC, electronic toll collection",
"EU研究センター","EU Research Center",
"EU資料センター","EU Information Center",
"FAZ(輸入促進地域)","FAZ (foreign access zone)",
"FIFAワールドカップ","FIFA World Cup",
"GHQ","GHQ (General Headquarters of the Allied Forces)",
"GHQ民間情報教育局","Civil Information and Education Section, GHQ/SCAP",
"GHQ民生局","General Section of GHQ (General Headquarters of the Allied Forces)",
"GK Kyoto","GK Kyoto",
"HTマーク","HT mark (Hanshin Tigers' mark)",
"HUFLIT","Ho Chi Minh City University of Foreign Languages – Information Technology",
"ICOCA","ICOCA contactless IC fare card system (ICOCA)",
"IGRいわて銀河鉄道","Iwate Galaxy Railway Co.,Ltd. (IGR)",
"ILO（国際労働機関）","International Labour Organization",
"ITF系テコンドー家","ITF group tae kwon do player",
"ITアウトソーシング業","IT outsourcing business",
"J.Oスタヂオ","J.O. Studio",
"J・レブレット","J. Lebret",
"JALホテルズ","JAL Hotels Co.,Ltd.",
"JR","JR",
"JR/丸の内線","JR/Marunouchi Line",
"JRバス","JR Bus",
"ＪＲバス槙尾","JR Bus, Makinoo bus stop",
"JR宇治駅","JR Uji Station",
"JR円町駅","JR Enmachi Station",
"JR加茂駅","JR Kamo station",
"JR関西本線","JR Kansai Main Line",
"JR亀岡駅","JR Kameoka Station",
"JR宮津線","JR Miyazu Line",
"JR京都駅","JR Kyoto Station",
"ＪＲ京都駅八条口","Hachijo Exit of JR Kyoto Station",
"JR京都線","JR Kyoto Line",
"JR京都線 山崎駅","JR Kyoto Line Yamazaki Station",
"JR京都線（東海道本線）","JR Kyoto Line (Tokaido Main Line)",
"JR九州 (九州旅客鉄道)","Kyushu Railway Company (JR-Kyushu)",
"JR桂駅 (桂川駅)","JR Katsuragawa Station",
"JR向日町駅","JR Mukomachi Station",
"JR嵯峨野線","JR Sagano Line",
"JR三山木駅","JR Miyamaki Station",
"JR山陰本線","JR Sanin Main Line",
"JR四国8000系電車","JR (Shikoku) Limited Express Series 8000",
"JR祝園駅","JR Hosono Station",
"JR小倉駅","JR Ogura Station",
"JR小浜線","JR Obama Line",
"JR城陽駅","JR Joyo Station",
"JR神戸線","JR Kobe Line",
"JR西日本","JR West (West Japan Railway Company)",
"JR西日本125系電車","JR West Suburban Trains Series 125",
"JR西日本281系電車","JR West Limited Express Series 281",
"JR西日本683系電車","JR West/Hokuetsu Exp. Limited Express Series 683",
"JR西日本キハ120形気動車","JR West Diesel Cars Series Kiha 120",
"JR西日本ホテルズ京都","JR West Hotels Kyoto (Hotel Granvia Kyoto)",
"JR西日本嵯峨野線（山陰本線）","JR West Sagano Line (Sanin Main Line)",
"JR西日本奈良線","JR West Nara Line",
"JR西舞鶴駅","JR Nishimaizuru Station",
"JR仙石線","JR Senseki Line",
"JR太秦駅","JR Uzumasa Station",
"JR大阪駅","JR Osaka Station",
"JR大阪環状線","JR Osaka Loop Line",
"JR大和路線","JR Yamatoji Line",
"JR大和路線加茂駅 (京都府)","JR Yamato Line, Kamo station (Kyoto Prefecture)",
"JR大和路線奈良駅","JR Yamato Line, Nara station",
"JR長岡京駅","JR Nagaokakyo Station",
"JR東海道本線","JR Tokaido Main Line",
"JR東西線","JR Tozai Line",
"JR東西線北新地駅","JR Tozai Line Kitashinchi Station",
"ＪR東舞鶴駅","JR Higashi-Maizuru Station",
"JR東福寺駅","JR Tofukuji Station",
"JR藤森駅","JR Fujinomori Station",
"JR同志社前駅","JR Doshishamae Station",
"JR特急きのさき","JR Limited Express Kinosaki",
"JR特急たんば (列車)","JR Limited Express Tanba",
"JR特急はしだて (列車)","JR Limited Express Hashidate",
"ＪＲ特急はるか","JR Limited Express Haruka",
"JR特急文殊 (列車)","JR Limited Express Monju",
"JR特急北近畿 (列車)","JR Limited Express Kitakinki",
"JR奈良線","JR Nara Line",
"JR奈良線城陽駅","JR Nara Line Joyo Station",
"JR奈良線東福寺駅","JR Nara Line Tofuku-ji Station",
